Module,ApiPath,Method,From,To
CloudCommunications,/communications/onlineMeetings/microsoft.graph.createOrGet, Post,OperationId changed from: communication.onlineMeeting_createOrGet, OperationId changed to: communication.onlineMeeting_createGraphRPreGet
Groups,/groups/{group-id}/membersWithLicenseErrors/{directoryObject-id}/microsoft.graph.orgContact, Get,OperationId changed from: group_GetMembersGraphWPreLicenseErrorAsOrgContact, OperationId changed to: group_GetMembersGraphWPreLicenseErrorAsGraphRPregContact
Groups,/groups/{group-id}/membersWithLicenseErrors/microsoft.graph.orgContact, Get,OperationId changed from: group_ListMembersGraphWPreLicenseErrorAsOrgContact, OperationId changed to: group_ListMembersGraphWPreLicenseErrorAsGraphRPregContact
Groups,/groups/{group-id}/membersWithLicenseErrors/microsoft.graph.orgContact/$count, Get,OperationId changed from: group.MembersGraphWPreLicenseError_GetCountAsOrgContact, OperationId changed to: group.MembersGraphWPreLicenseError_GetCountAsGraphRPregContact
Identity.Governance,/identityGovernance/entitlementManagement/connectedOrganizations/{connectedOrganization-id}/externalSponsors/{directoryObject-id}/$ref, Delete,OperationId changed from: identityGovernance.entitlementManagement.connectedOrganization.externalSponsor_DeleteDirectoryObjectGraphBPreRef, OperationId changed to: identityGovernance.entitlementManagement.connectedGraphRPreganization.externalSponsor_DeleteDirectoryObjectGraphBPreRef
Identity.Governance,/identityGovernance/entitlementManagement/connectedOrganizations/{connectedOrganization-id}/externalSponsors/$ref, Get,OperationId changed from: identityGovernance.entitlementManagement.connectedOrganization_ListExternalSponsorGraphBPreRef, OperationId changed to: identityGovernance.entitlementManagement.connectedGraphRPreganization_ListExternalSponsorGraphBPreRef
Identity.Governance,/identityGovernance/entitlementManagement/connectedOrganizations/{connectedOrganization-id}/externalSponsors/$ref, Post,OperationId changed from: identityGovernance.entitlementManagement.connectedOrganization_CreateExternalSponsorGraphBPreRef, OperationId changed to: identityGovernance.entitlementManagement.connectedGraphRPreganization_CreateExternalSponsorGraphBPreRef
Identity.Governance,/identityGovernance/entitlementManagement/connectedOrganizations/{connectedOrganization-id}/externalSponsors/$ref, Delete,OperationId changed from: identityGovernance.entitlementManagement.connectedOrganization_DeleteExternalSponsorGraphBPreRef, OperationId changed to: identityGovernance.entitlementManagement.connectedGraphRPreganization_DeleteExternalSponsorGraphBPreRef
Identity.Governance,/identityGovernance/entitlementManagement/connectedOrganizations/{connectedOrganization-id}/internalSponsors/{directoryObject-id}/$ref, Delete,OperationId changed from: identityGovernance.entitlementManagement.connectedOrganization.internalSponsor_DeleteDirectoryObjectGraphBPreRef, OperationId changed to: identityGovernance.entitlementManagement.connectedGraphRPreganization.internalSponsor_DeleteDirectoryObjectGraphBPreRef
Identity.Governance,/identityGovernance/entitlementManagement/connectedOrganizations/{connectedOrganization-id}/internalSponsors/$ref, Get,OperationId changed from: identityGovernance.entitlementManagement.connectedOrganization_ListInternalSponsorGraphBPreRef, OperationId changed to: identityGovernance.entitlementManagement.connectedGraphRPreganization_ListInternalSponsorGraphBPreRef
Identity.Governance,/identityGovernance/entitlementManagement/connectedOrganizations/{connectedOrganization-id}/internalSponsors/$ref, Post,OperationId changed from: identityGovernance.entitlementManagement.connectedOrganization_CreateInternalSponsorGraphBPreRef, OperationId changed to: identityGovernance.entitlementManagement.connectedGraphRPreganization_CreateInternalSponsorGraphBPreRef
Identity.Governance,/identityGovernance/entitlementManagement/connectedOrganizations/{connectedOrganization-id}/internalSponsors/$ref, Delete,OperationId changed from: identityGovernance.entitlementManagement.connectedOrganization_DeleteInternalSponsorGraphBPreRef, OperationId changed to: identityGovernance.entitlementManagement.connectedGraphRPreganization_DeleteInternalSponsorGraphBPreRef
Reports,/reports/microsoft.graph.getSkypeForBusinessOrganizerActivityCounts(period='{period}'), Get,OperationId changed from: report_getSkypeGraphFPreBusinessOrganizerActivityCount, OperationId changed to: report_getSkypeGraphFPreBusinessGraphRPreganizerActivityCount
Reports,/reports/microsoft.graph.getSkypeForBusinessOrganizerActivityMinuteCounts(period='{period}'), Get,OperationId changed from: report_getSkypeGraphFPreBusinessOrganizerActivityMinuteCount, OperationId changed to: report_getSkypeGraphFPreBusinessGraphRPreganizerActivityMinuteCount
Reports,/reports/microsoft.graph.getSkypeForBusinessOrganizerActivityUserCounts(period='{period}'), Get,OperationId changed from: report_getSkypeGraphFPreBusinessOrganizerActivityUserCount, OperationId changed to: report_getSkypeGraphFPreBusinessGraphRPreganizerActivityUserCount
Users.Actions,/users/{user-id}/onlineMeetings/microsoft.graph.createOrGet, Post,OperationId changed from: user.onlineMeeting_createOrGet, OperationId changed to: user.onlineMeeting_createGraphRPreGet
Users.Functions,/users/{user-id}/microsoft.graph.getManagedDevicesWithFailedOrPendingApps(), Get,OperationId changed from: user_getManagedDevicesGraphWPreFailedOrPendingApp, OperationId changed to: user_getManagedDevicesGraphWPreFailedGraphRPrePendingApp
