OperationId,FirstModule,FirstPath,FirstMethod,SecondModule,SecondPath,SecondMethod
application.synchronization.job_validateCredential,Applications,/applications/{application-id}/synchronization/jobs/{synchronizationJob-id}/microsoft.graph.validateCredentials,Post,Applications,/applications/{application-id}/synchronization/jobs/microsoft.graph.validateCredentials,Post
servicePrincipal.synchronization.job_validateCredential,Applications,/servicePrincipals/{servicePrincipal-id}/synchronization/jobs/{synchronizationJob-id}/microsoft.graph.validateCredentials,Post,Applications,/servicePrincipals/{servicePrincipal-id}/synchronization/jobs/microsoft.graph.validateCredentials,Post
user_GetCalendar,Calendar,/users/{user-id}/calendar,Get,Calendar,/users/{user-id}/calendars/{calendar-id},Get
user_UpdateCalendar,Calendar,/users/{user-id}/calendar,Patch,Calendar,/users/{user-id}/calendars/{calendar-id},Patch
user.calendar_ListCalendarPermission,Calendar,/users/{user-id}/calendar/calendarPermissions,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarPermissions,Get
user.calendar_CreateCalendarPermission,Calendar,/users/{user-id}/calendar/calendarPermissions,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarPermissions,Post
user.calendar_GetCalendarPermission,Calendar,/users/{user-id}/calendar/calendarPermissions/{calendarPermission-id},Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarPermissions/{calendarPermission-id},Get
user.calendar_UpdateCalendarPermission,Calendar,/users/{user-id}/calendar/calendarPermissions/{calendarPermission-id},Patch,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarPermissions/{calendarPermission-id},Patch
user.calendar_DeleteCalendarPermission,Calendar,/users/{user-id}/calendar/calendarPermissions/{calendarPermission-id},Delete,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarPermissions/{calendarPermission-id},Delete
user.calendar.calendarPermission_GetCount,Calendar,/users/{user-id}/calendar/calendarPermissions/$count,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarPermissions/$count,Get
user.calendar_ListCalendarView,Calendar,/users/{user-id}/calendar/calendarView,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView,Get
user.calendar_GetCalendarView,Calendar,/users/{user-id}/calendar/calendarView/{event-id},Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id},Get
user.calendar.calendarView_ListAttachment,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/attachments,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/attachments,Get
user.calendar.calendarView_CreateAttachment,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/attachments,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/attachments,Post
user.calendar.calendarView_GetAttachment,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/attachments/{attachment-id},Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/attachments/{attachment-id},Get
user.calendar.calendarView_DeleteAttachment,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/attachments/{attachment-id},Delete,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/attachments/{attachment-id},Delete
user.calendar.calendarView.attachment_GetCount,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/attachments/$count,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/attachments/$count,Get
user.calendar.calendarView.attachment_createUploadSession,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/attachments/microsoft.graph.createUploadSession,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/attachments/microsoft.graph.createUploadSession,Post
user.calendar.calendarView_GetCalendar,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/calendar,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/calendar,Get
user.calendar.calendarView_ListExtension,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/extensions,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/extensions,Get
user.calendar.calendarView_CreateExtension,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/extensions,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/extensions,Post
user.calendar.calendarView_GetExtension,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/extensions/{extension-id},Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/extensions/{extension-id},Get
user.calendar.calendarView_UpdateExtension,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/extensions/{extension-id},Patch,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/extensions/{extension-id},Patch
user.calendar.calendarView_DeleteExtension,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/extensions/{extension-id},Delete,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/extensions/{extension-id},Delete
user.calendar.calendarView.extension_GetCount,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/extensions/$count,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/extensions/$count,Get
user.calendar.calendarView_ListInstance,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/instances,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/instances,Get
user.calendar.calendarView_GetInstance,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/instances/{event-id1},Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/instances/{event-id1},Get
user.calendar.calendarView.instance_ListAttachment,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/instances/{event-id1}/attachments,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/instances/{event-id1}/attachments,Get
user.calendar.calendarView.instance_CreateAttachment,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/instances/{event-id1}/attachments,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/instances/{event-id1}/attachments,Post
user.calendar.calendarView.instance_GetAttachment,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/instances/{event-id1}/attachments/{attachment-id},Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/instances/{event-id1}/attachments/{attachment-id},Get
user.calendar.calendarView.instance_DeleteAttachment,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/instances/{event-id1}/attachments/{attachment-id},Delete,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/instances/{event-id1}/attachments/{attachment-id},Delete
user.calendar.calendarView.instance.attachment_GetCount,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/instances/{event-id1}/attachments/$count,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/instances/{event-id1}/attachments/$count,Get
user.calendar.calendarView.instance.attachment_createUploadSession,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/instances/{event-id1}/attachments/microsoft.graph.createUploadSession,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/instances/{event-id1}/attachments/microsoft.graph.createUploadSession,Post
user.calendar.calendarView.instance_GetCalendar,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/instances/{event-id1}/calendar,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/instances/{event-id1}/calendar,Get
user.calendar.calendarView.instance_ListExtension,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/instances/{event-id1}/extensions,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/instances/{event-id1}/extensions,Get
user.calendar.calendarView.instance_CreateExtension,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/instances/{event-id1}/extensions,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/instances/{event-id1}/extensions,Post
user.calendar.calendarView.instance_GetExtension,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/instances/{event-id1}/extensions/{extension-id},Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/instances/{event-id1}/extensions/{extension-id},Get
user.calendar.calendarView.instance_UpdateExtension,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/instances/{event-id1}/extensions/{extension-id},Patch,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/instances/{event-id1}/extensions/{extension-id},Patch
user.calendar.calendarView.instance_DeleteExtension,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/instances/{event-id1}/extensions/{extension-id},Delete,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/instances/{event-id1}/extensions/{extension-id},Delete
user.calendar.calendarView.instance.extension_GetCount,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/instances/{event-id1}/extensions/$count,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/instances/{event-id1}/extensions/$count,Get
user.calendar.calendarView.instance_accept,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/instances/{event-id1}/microsoft.graph.accept,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/instances/{event-id1}/microsoft.graph.accept,Post
user.calendar.calendarView.instance_cancel,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/instances/{event-id1}/microsoft.graph.cancel,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/instances/{event-id1}/microsoft.graph.cancel,Post
user.calendar.calendarView.instance_decline,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/instances/{event-id1}/microsoft.graph.decline,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/instances/{event-id1}/microsoft.graph.decline,Post
