Module,ApiPath,Method,From,To
Applications,/servicePrincipals/{servicePrincipal-id}/appRoleAssignments/{appRoleAssignment-id}, Get,Parameter Count: 5,Parameter Count: 4
Identity.SignIns,/identity/b2xUserFlows/{b2xIdentityUserFlow-id}/languages/{userFlowLanguageConfiguration-id}/defaultPages/{userFlowLanguagePage-id}/$value, Get,Parameter Count: 4,Parameter Count: 3
Identity.SignIns,/identity/b2xUserFlows/{b2xIdentityUserFlow-id}/languages/{userFlowLanguageConfiguration-id}/overridesPages/{userFlowLanguagePage-id}/$value, Get,Parameter Count: 4,Parameter Count: 3
Mail,/users/{user-id}/mailFolders/{mailFolder-id}/childFolders/{mailFolder-id1}/messages/{message-id}/$value, Get,Parameter Count: 5,Parameter Count: 4
Mail,/users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}/$value, Get,Parameter Count: 4,Parameter Count: 3
Mail,/users/{user-id}/messages/{message-id}/$value, Get,Parameter Count: 3,Parameter Count: 2
PersonalContacts,/users/{user-id}/contactFolders/{contactFolder-id}/childFolders/{contactFolder-id1}/contacts/{contact-id}/photo/$value, Get,Parameter Count: 5,Parameter Count: 4
PersonalContacts,/users/{user-id}/contactFolders/{contactFolder-id}/contacts/{contact-id}/photo/$value, Get,Parameter Count: 4,Parameter Count: 3
PersonalContacts,/users/{user-id}/contacts/{contact-id}/photo/$value, Get,Parameter Count: 3,Parameter Count: 2
Teams,/groups/{group-id}/team/channels/{channel-id}/messages/{chatMessage-id}/hostedContents/{chatMessageHostedContent-id}/$value, Get,Parameter Count: 5,Parameter Count: 4
Teams,/groups/{group-id}/team/channels/{channel-id}/messages/{chatMessage-id}/replies/{chatMessage-id1}/hostedContents/{chatMessageHostedContent-id}/$value, Get,Parameter Count: 6,Parameter Count: 5
Teams,/groups/{group-id}/team/photo/$value, Get,Parameter Count: 2,Parameter Count: 1
Teams,/groups/{group-id}/team/primaryChannel/messages/{chatMessage-id}/hostedContents/{chatMessageHostedContent-id}/$value, Get,Parameter Count: 4,Parameter Count: 3
Teams,/groups/{group-id}/team/primaryChannel/messages/{chatMessage-id}/replies/{chatMessage-id1}/hostedContents/{chatMessageHostedContent-id}/$value, Get,Parameter Count: 5,Parameter Count: 4
Teams,/teams/{team-id}/channels/{channel-id}/messages/{chatMessage-id}/hostedContents/{chatMessageHostedContent-id}/$value, Get,Parameter Count: 5,Parameter Count: 4
Teams,/teams/{team-id}/channels/{channel-id}/messages/{chatMessage-id}/replies/{chatMessage-id1}/hostedContents/{chatMessageHostedContent-id}/$value, Get,Parameter Count: 6,Parameter Count: 5
Teams,/teams/{team-id}/photo/$value, Get,Parameter Count: 2,Parameter Count: 1
Teams,/teams/{team-id}/primaryChannel/messages/{chatMessage-id}/hostedContents/{chatMessageHostedContent-id}/$value, Get,Parameter Count: 4,Parameter Count: 3
Teams,/teams/{team-id}/primaryChannel/messages/{chatMessage-id}/replies/{chatMessage-id1}/hostedContents/{chatMessageHostedContent-id}/$value, Get,Parameter Count: 5,Parameter Count: 4
Teams,/teamwork/deletedTeams/{deletedTeam-id}/channels/{channel-id}/messages/{chatMessage-id}/hostedContents/{chatMessageHostedContent-id}/$value, Get,Parameter Count: 5,Parameter Count: 4
Teams,/teamwork/deletedTeams/{deletedTeam-id}/channels/{channel-id}/messages/{chatMessage-id}/replies/{chatMessage-id1}/hostedContents/{chatMessageHostedContent-id}/$value, Get,Parameter Count: 6,Parameter Count: 5
Teams,/users/{user-id}/chats/{chat-id}/messages/{chatMessage-id}/hostedContents/{chatMessageHostedContent-id}/$value, Get,Parameter Count: 5,Parameter Count: 4
Teams,/users/{user-id}/chats/{chat-id}/messages/{chatMessage-id}/replies/{chatMessage-id1}/hostedContents/{chatMessageHostedContent-id}/$value, Get,Parameter Count: 6,Parameter Count: 5
Teams,/users/{user-id}/joinedTeams/{team-id}/channels/{channel-id}/messages/{chatMessage-id}/hostedContents/{chatMessageHostedContent-id}/$value, Get,Parameter Count: 6,Parameter Count: 5
Teams,/users/{user-id}/joinedTeams/{team-id}/channels/{channel-id}/messages/{chatMessage-id}/replies/{chatMessage-id1}/hostedContents/{chatMessageHostedContent-id}/$value, Get,Parameter Count: 7,Parameter Count: 6
Teams,/users/{user-id}/joinedTeams/{team-id}/photo/$value, Get,Parameter Count: 3,Parameter Count: 2
Teams,/users/{user-id}/joinedTeams/{team-id}/primaryChannel/messages/{chatMessage-id}/hostedContents/{chatMessageHostedContent-id}/$value, Get,Parameter Count: 5,Parameter Count: 4
Teams,/users/{user-id}/joinedTeams/{team-id}/primaryChannel/messages/{chatMessage-id}/replies/{chatMessage-id1}/hostedContents/{chatMessageHostedContent-id}/$value, Get,Parameter Count: 6,Parameter Count: 5
