NewCmdlet,NewCmdletEndpoint,OldCmdlet,OldCmdletEndpoint
Remove-MgBetaAdministrativeUnitMemberDirectoryObjectByRef,/administrativeUnits/{administrativeUnit-id}/members/{directoryObject-id}/$ref,Remove-MgBetaAdministrativeUnitMemberByRef,/administrativeUnits/{administrativeUnit-id}/members/$ref
Remove-MgBetaApplicationAppManagementPolicyAppManagementPolicyByRef,/applications/{application-id}/appManagementPolicies/{appManagementPolicy-id}/$ref,Remove-MgBetaApplicationAppManagementPolicyByRef,/applications/{application-id}/appManagementPolicies/$ref
Remove-MgBetaApplicationOwnerDirectoryObjectByRef,/applications/{application-id}/owners/{directoryObject-id}/$ref,Remove-MgBetaApplicationOwnerByRef,/applications/{application-id}/owners/$ref
Remove-MgBetaApplicationTokenIssuancePolicyTokenIssuancePolicyByRef,/applications/{application-id}/tokenIssuancePolicies/{tokenIssuancePolicy-id}/$ref,Remove-MgBetaApplicationTokenIssuancePolicyByRef,/applications/{application-id}/tokenIssuancePolicies/$ref
Remove-MgBetaApplicationTokenLifetimePolicyTokenLifetimePolicyByRef,/applications/{application-id}/tokenLifetimePolicies/{tokenLifetimePolicy-id}/$ref,Remove-MgBetaApplicationTokenLifetimePolicyByRef,/applications/{application-id}/tokenLifetimePolicies/$ref
Remove-MgBetaDeviceRegisteredOwnerDirectoryObjectByRef,/devices/{device-id}/registeredOwners/{directoryObject-id}/$ref,Remove-MgBetaDeviceRegisteredOwnerByRef,/devices/{device-id}/registeredOwners/$ref
Remove-MgBetaDeviceRegisteredUserDirectoryObjectByRef,/devices/{device-id}/registeredUsers/{directoryObject-id}/$ref,Remove-MgBetaDeviceRegisteredUserByRef,/devices/{device-id}/registeredUsers/$ref
Remove-MgBetaDirectoryAdministrativeUnitMemberDirectoryObjectByRef,/directory/administrativeUnits/{administrativeUnit-id}/members/{directoryObject-id}/$ref,Remove-MgBetaDirectoryAdministrativeUnitMemberByRef,/directory/administrativeUnits/{administrativeUnit-id}/members/$ref
Remove-MgBetaDirectoryFeatureRolloutPolicyApplyToDirectoryObjectByRef,/directory/featureRolloutPolicies/{featureRolloutPolicy-id}/appliesTo/{directoryObject-id}/$ref,Remove-MgBetaDirectoryFeatureRolloutPolicyApplyToByRef,/directory/featureRolloutPolicies/{featureRolloutPolicy-id}/appliesTo/$ref
Remove-MgBetaDirectoryRoleMemberDirectoryObjectByRef,/directoryRoles/{directoryRole-id}/members/{directoryObject-id}/$ref,Remove-MgBetaDirectoryRoleMemberByRef,/directoryRoles/{directoryRole-id}/members/$ref
Remove-MgBetaEducationClassAssignmentCategoryEducationCategoryByRef,/education/classes/{educationClass-id}/assignments/{educationAssignment-id}/categories/{educationCategory-id}/$ref,Remove-MgBetaEducationClassAssignmentCategoryByRef,/education/classes/{educationClass-id}/assignments/{educationAssignment-id}/categories/$ref
Remove-MgBetaEducationClassMemberEducationUserByRef,/education/classes/{educationClass-id}/members/{educationUser-id}/$ref,Remove-MgBetaEducationClassMemberByRef,/education/classes/{educationClass-id}/members/$ref
Remove-MgBetaEducationClassTeacherEducationUserByRef,/education/classes/{educationClass-id}/teachers/{educationUser-id}/$ref,Remove-MgBetaEducationClassTeacherByRef,/education/classes/{educationClass-id}/teachers/$ref
Remove-MgBetaEducationMeAssignmentCategoryEducationCategoryByRef,/education/me/assignments/{educationAssignment-id}/categories/{educationCategory-id}/$ref,Remove-MgBetaEducationMeAssignmentCategoryByRef,/education/me/assignments/{educationAssignment-id}/categories/$ref
Remove-MgBetaEducationSchoolClassEducationClassByRef,/education/schools/{educationSchool-id}/classes/{educationClass-id}/$ref,Remove-MgBetaEducationSchoolClassByRef,/education/schools/{educationSchool-id}/classes/$ref
Remove-MgBetaEducationSchoolUserEducationUserByRef,/education/schools/{educationSchool-id}/users/{educationUser-id}/$ref,Remove-MgBetaEducationSchoolUserByRef,/education/schools/{educationSchool-id}/users/$ref
Remove-MgBetaEducationUserAssignmentCategoryEducationCategoryByRef,/education/users/{educationUser-id}/assignments/{educationAssignment-id}/categories/{educationCategory-id}/$ref,Remove-MgBetaEducationUserAssignmentCategoryByRef,/education/users/{educationUser-id}/assignments/{educationAssignment-id}/categories/$ref
