NewCmdlet,NewCmdletEndpoint,OldCmdlet,OldCmdletEndpoint
Remove-MgApplicationAppManagementPolicyAppManagementPolicyByRef,/applications/{application-id}/appManagementPolicies/{appManagementPolicy-id}/$ref,Remove-MgApplicationAppManagementPolicyByRef,/applications/{application-id}/appManagementPolicies/$ref
Remove-MgApplicationOwnerDirectoryObjectByRef,/applications/{application-id}/owners/{directoryObject-id}/$ref,Remove-MgApplicationOwnerByRef,/applications/{application-id}/owners/$ref
Remove-MgApplicationTokenIssuancePolicyTokenIssuancePolicyByRef,/applications/{application-id}/tokenIssuancePolicies/{tokenIssuancePolicy-id}/$ref,Remove-MgApplicationTokenIssuancePolicyByRef,/applications/{application-id}/tokenIssuancePolicies/$ref
Remove-MgApplicationTokenLifetimePolicyTokenLifetimePolicyByRef,/applications/{application-id}/tokenLifetimePolicies/{tokenLifetimePolicy-id}/$ref,Remove-MgApplicationTokenLifetimePolicyByRef,/applications/{application-id}/tokenLifetimePolicies/$ref
Remove-MgDeviceRegisteredOwnerDirectoryObjectByRef,/devices/{device-id}/registeredOwners/{directoryObject-id}/$ref,Remove-MgDeviceRegisteredOwnerByRef,/devices/{device-id}/registeredOwners/$ref
Remove-MgDeviceRegisteredUserDirectoryObjectByRef,/devices/{device-id}/registeredUsers/{directoryObject-id}/$ref,Remove-MgDeviceRegisteredUserByRef,/devices/{device-id}/registeredUsers/$ref
Remove-MgDirectoryAdministrativeUnitMemberDirectoryObjectByRef,/directory/administrativeUnits/{administrativeUnit-id}/members/{directoryObject-id}/$ref,Remove-MgDirectoryAdministrativeUnitMemberByRef,/directory/administrativeUnits/{administrativeUnit-id}/members/$ref
Remove-MgDirectoryRoleMemberDirectoryObjectByRef,/directoryRoles/{directoryRole-id}/members/{directoryObject-id}/$ref,Remove-MgDirectoryRoleMemberByRef,/directoryRoles/{directoryRole-id}/members/$ref
Remove-MgEducationClassAssignmentCategoryEducationCategoryByRef,/education/classes/{educationClass-id}/assignments/{educationAssignment-id}/categories/{educationCategory-id}/$ref,Remove-MgEducationClassAssignmentCategoryByRef,/education/classes/{educationClass-id}/assignments/{educationAssignment-id}/categories/$ref
Remove-MgEducationClassMemberEducationUserByRef,/education/classes/{educationClass-id}/members/{educationUser-id}/$ref,Remove-MgEducationClassMemberByRef,/education/classes/{educationClass-id}/members/$ref
