"Module","Cmdlets","WorkerFiles","Get","New","Update","Remove"
"Identity.Governance","1555","470","831","170","218","234"
"Sites","1028","268","526","120","157","147"
"Teams","842","246","325","113","114","129"
"Files","637","74","455","31","51","51"
"Devices.CorporateManagement","625","256","269","96","106","106"
"Security","500","168","233","68","84","85"
"Identity.SignIns","482","154","214","67","82","89"
"Notes","396","84","177","42","45","57"
"Identity.DirectoryManagement","390","158","223","38","41","58"
"Education","354","96","154","50","52","58"
"Applications","293","96","148","31","27","47"
"CloudCommunications","248","60","95","29","32","44"
"DeviceManagement","229","68","84","34","45","45"
"Groups","217","102","127","25","13","26"
"Users","209","94","122","20","26","34"
"BackupRestore","203","88","96","31","33","33"
"Calendar","199","72","89","34","27","33"
"Reports","195","22","160","3","12","12"
"Bookings","159","58","65","27","29","29"
"DeviceManagement.Administration","149","50","65","21","25","23"
"Devices.CloudPrint","119","34","55","19","17","19"
"Mail","118","28","36","26","12","22"
"PersonalContacts","62","16","27","8","11","16"
"Search","54","18","22","9","11","9"
"Planner","46","22","24","3","12","7"
"DeviceManagement.Enrollment","30","8","10","4","6","5"
"Identity.Partner","30","12","12","6","6","6"
"Compliance","27","8","18","2","5","2"
"Devices.ServiceAnnouncement","20","10","12","0","0","0"
"Users.Actions","17","0","4","0","1","1"
"ConfigurationManagement","13","10","9","1","1","2"
"DirectoryObjects","13","2","7","1","1","1"
"CrossDeviceExperiences","12","4","5","2","2","2"
"Users.Functions","7","0","6","0","0","0"
"SchemaExtensions","5","2","2","1","1","1"
"ChangeNotifications","5","2","1","1","1","1"
"DeviceManagement.Functions","3","0","2","0","0","0"
"People","2","2","2","0","0","0"
