"Module","ApiVersion","Cmdlet","Verb","Noun","RequestPath","IsWorker","File"
"Applications","v1.0","Add-MgApplicationKey","Add","MgApplicationKey","Applications[ApplicationId].AddKey","False","AddMgApplicationKey.g.cs"
"Applications","v1.0","Add-MgApplicationPassword","Add","MgApplicationPassword","Applications[ApplicationId].AddPassword","False","AddMgApplicationPassword.g.cs"
"Applications","v1.0","Add-MgServicePrincipalKey","Add","MgServicePrincipalKey","ServicePrincipals[ServicePrincipalId].AddKey","False","AddMgServicePrincipalKey.g.cs"
"Applications","v1.0","Add-MgServicePrincipalPassword","Add","MgServicePrincipalPassword","ServicePrincipals[ServicePrincipalId].AddPassword","False","AddMgServicePrincipalPassword.g.cs"
"Applications","v1.0","Add-MgServicePrincipalTokenSigningCertificate","Add","MgServicePrincipalTokenSigningCertificate","ServicePrincipals[ServicePrincipalId].AddTokenSigningCertificate","False","AddMgServicePrincipalTokenSigningCertificate.g.cs"
"Applications","v1.0","Clear-MgApplicationVerifiedPublisher","Clear","MgApplicationVerifiedPublisher","Applications[ApplicationId].UnsetVerifiedPublisher","False","ClearMgApplicationVerifiedPublisher.g.cs"
"Applications","v1.0","Confirm-MgApplicationMemberGroup","Confirm","MgApplicationMemberGroup","(dispatcher)","False","ConfirmMgApplicationMemberGroup.g.cs"
"Applications","v1.0","Confirm-MgApplicationMemberObject","Confirm","MgApplicationMemberObject","(dispatcher)","False","ConfirmMgApplicationMemberObject.g.cs"
"Applications","v1.0","Confirm-MgServicePrincipalMemberGroup","Confirm","MgServicePrincipalMemberGroup","(dispatcher)","False","ConfirmMgServicePrincipalMemberGroup.g.cs"
"Applications","v1.0","Confirm-MgServicePrincipalMemberObject","Confirm","MgServicePrincipalMemberObject","(dispatcher)","False","ConfirmMgServicePrincipalMemberObject.g.cs"
"Applications","v1.0","Find-MgApplicationSynchronizationJobSchemaDirectory","Find","MgApplicationSynchronizationJobSchemaDirectory","Applications[ApplicationId].Synchronization.Jobs[SynchronizationJobId].Schema.Directories[DirectoryDefinitionId].Discover","False","FindMgApplicationSynchronizationJobSchemaDirectory.g.cs"
"Applications","v1.0","Find-MgApplicationSynchronizationTemplateSchemaDirectory","Find","MgApplicationSynchronizationTemplateSchemaDirectory","Applications[ApplicationId].Synchronization.Templates[SynchronizationTemplateId].Schema.Directories[DirectoryDefinitionId].Discover","False","FindMgApplicationSynchronizationTemplateSchemaDirectory.g.cs"
