CmdletName,ModuleName,ExampleCountV1,ExampleCountBeta
Add-MgApplicationPassword,Microsoft.Graph.Applications,2,2
Get-MgApplication,Microsoft.Graph.Applications,5,5
Get-MgGroupAppRoleAssignment,Microsoft.Graph.Applications,1,1
Get-MgServicePrincipal,Microsoft.Graph.Applications,5,5
Get-MgServicePrincipalAppRoleAssignment,Microsoft.Graph.Applications,1,1
Get-MgServicePrincipalOwner,Microsoft.Graph.Applications,1,1
Get-MgUserAppRoleAssignment,Microsoft.Graph.Applications,1,1
New-MgApplication,Microsoft.Graph.Applications,1,1
New-MgApplicationOwnerByRef,Microsoft.Graph.Applications,1,1
New-MgGroupAppRoleAssignment,Microsoft.Graph.Applications,1,1
New-MgServicePrincipal,Microsoft.Graph.Applications,1,1
New-MgServicePrincipalOwnerByRef,Microsoft.Graph.Applications,1,1
New-MgUserAppRoleAssignment,Microsoft.Graph.Applications,1,1
Remove-MgApplication,Microsoft.Graph.Applications,1,1
Remove-MgServicePrincipalAppRoleAssignment,Microsoft.Graph.Applications,1,1
Remove-MgUserAppRoleAssignment,Microsoft.Graph.Applications,1,1
Update-MgApplication,Microsoft.Graph.Applications,1,1
Update-MgServicePrincipal,Microsoft.Graph.Applications,1,1
Get-MgRoleManagementDirectoryRoleAssignmentSchedule,Microsoft.Graph.DeviceManagement.Enrolment,0,2
Get-MgRoleManagementDirectoryRoleAssignmentScheduleInstance,Microsoft.Graph.DeviceManagement.Enrolment,0,2
Get-MgRoleManagementDirectoryRoleAssignmentScheduleRequest,Microsoft.Graph.DeviceManagement.Enrolment,0,2
Get-MgRoleManagementDirectoryRoleEligibilitySchedule,Microsoft.Graph.DeviceManagement.Enrolment,0,2
Get-MgRoleManagementDirectoryRoleEligibilityScheduleInstance,Microsoft.Graph.DeviceManagement.Enrolment,0,2
Get-MgRoleManagementDirectoryRoleEligibilityScheduleRequest,Microsoft.Graph.DeviceManagement.Enrolment,0,2
New-MgRoleManagementDirectoryRoleAssignmentScheduleRequest,Microsoft.Graph.DeviceManagement.Enrolment,0,3
New-MgRoleManagementDirectoryRoleEligibilityScheduleRequest,Microsoft.Graph.DeviceManagement.Enrolment,0,3
Get-MgGroup,Microsoft.Graph.Groups,5,5
Get-MgGroupMember,Microsoft.Graph.Groups,1,1
Get-MgGroupOwner,Microsoft.Graph.Groups,1,1
New-MgGroup,Microsoft.Graph.Groups,1,1
New-MgGroupMember,Microsoft.Graph.Groups,1,1
New-MgGroupOwnerByRef,Microsoft.Graph.Groups,1,1
Remove-MgGroup,Microsoft.Graph.Groups,1,1
Update-MgGroup,Microsoft.Graph.Groups,1,1
Get-MgContact,Microsoft.Graph.Identity.DirectoryManagement,1,1
Get-MgDirectoryDeletedItem,Microsoft.Graph.Identity.DirectoryManagement,1,1
Get-MgDirectoryRole,Microsoft.Graph.Identity.DirectoryManagement,2,2
Get-MgDirectoryRoleMember,Microsoft.Graph.Identity.DirectoryManagement,1,1
Get-MgDomain,Microsoft.Graph.Identity.DirectoryManagement,1,1
Get-MgDomainFederationConfiguration,Microsoft.Graph.Identity.DirectoryManagement,1,1
Get-MgSubscribedSku,Microsoft.Graph.Identity.DirectoryManagement,1,1
New-MgDirectoryRoleMemberByRef,Microsoft.Graph.Identity.DirectoryManagement,1,1
New-MgDomainFederationConfiguration,Microsoft.Graph.Identity.DirectoryManagement,1,1
Remove-MgDomainFederationConfiguration,Microsoft.Graph.Identity.DirectoryManagement,1,1
Update-MgDomainFederationConfiguration,Microsoft.Graph.Identity.DirectoryManagement,1,1
Get-MgAdministrativeUnit,Microsoft.Graph.Identity.DirectoryManagement,0,1
Remove-MgAdministrativeUnit,Microsoft.Graph.Identity.DirectoryManagement,0,1
Update-MgAdministrativeUnit,Microsoft.Graph.Identity.DirectoryManagement,0,1
Get-MgEntitlementManagementAccessPackage,Microsoft.Graph.Identity.Governance,2,2
Get-MgEntitlementManagementAccessPackageAssignmentPolicy,Microsoft.Graph.Identity.Governance,0,1
Get-MgEntitlementManagementAccessPackageCatalog,Microsoft.Graph.Identity.Governance,0,2
Get-MgEntitlementManagementSetting,Microsoft.Graph.Identity.Governance,1,1
New-MgEntitlementManagementAccessPackage,Microsoft.Graph.Identity.Governance,1,1
New-MgEntitlementManagementAccessPackageAssignmentPolicy,Microsoft.Graph.Identity.Governance,0,1
Remove-MgEntitlementManagementAccessPackage,Microsoft.Graph.Identity.Governance,1,1
Remove-MgEntitlementManagementAccessPackageAssignmentPolicy,Microsoft.Graph.Identity.Governance,0,1
Get-MgEntitlementManagementAccessPackageAssignmentRequest,Microsoft.Graph.Identity.Governance,0,2
Get-MgEntitlementManagementAccessPackageCatalogAccessPackageResource,Microsoft.Graph.Identity.Governance,0,2
Get-MgEntitlementManagementAccessPackageCatalogAccessPackageResourceRole,Microsoft.Graph.Identity.Governance,0,2
Get-MgEntitlementManagementAccessPackageResourceRequest,Microsoft.Graph.Identity.Governance,0,2
New-MgEntitlementManagementAccessPackageAssignmentRequest,Microsoft.Graph.Identity.Governance,0,2
