"Module","File","ApiVersion","Command","Method","Uri","Disposition","OracleCommands"
"Cmdlets","GetMgApplication_Get.g.cs","v1.0","Get-MgApplication","GET","/applications/{param}","matched","Get-MgApplication"
"Cmdlets","GetMgApplication_List.g.cs","v1.0","Get-MgApplication","GET","/applications","matched","Get-MgApplication"
"Cmdlets","GetMgApplication.g.cs","v1.0","Get-MgApplication","","","dispatcher",""
"Cmdlets","GetMgApplicationAppManagementPolicy.g.cs","v1.0","Get-MgApplicationAppManagementPolicy","GET","/applications/{param}/appManagementPolicies","matched","Get-MgApplicationAppManagementPolicy"
"Cmdlets","GetMgApplicationAppManagementPolicyByRef.g.cs","v1.0","Get-MgApplicationAppManagementPolicyByRef","GET","/applications/{param}/appManagementPolicies/$ref","matched","Get-MgApplicationAppManagementPolicyByRef"
"Cmdlets","GetMgApplicationAppManagementPolicyCount.g.cs","v1.0","Get-MgApplicationAppManagementPolicyCount","GET","/applications/{param}/appManagementPolicies/$count","matched","Get-MgApplicationAppManagementPolicyCount"
"Cmdlets","GetMgApplicationCount.g.cs","v1.0","Get-MgApplicationCount","GET","/applications/$count","matched","Get-MgApplicationCount"
"Cmdlets","GetMgApplicationCreatedOnBehalfOf.g.cs","v1.0","Get-MgApplicationCreatedOnBehalfOf","GET","/applications/{param}/createdOnBehalfOf","matched","Get-MgApplicationCreatedOnBehalfOf"
"Cmdlets","GetMgApplicationDelta.g.cs","v1.0","Get-MgApplicationDelta","GET","/applications/delta","matched","Get-MgApplicationDelta"
"Cmdlets","GetMgApplicationExtensionProperty_Get.g.cs","v1.0","Get-MgApplicationExtensionProperty","GET","/applications/{param}/extensionProperties/{param}","matched","Get-MgApplicationExtensionProperty"
"Cmdlets","GetMgApplicationExtensionProperty_List.g.cs","v1.0","Get-MgApplicationExtensionProperty","GET","/applications/{param}/extensionProperties","matched","Get-MgApplicationExtensionProperty"
"Cmdlets","GetMgApplicationExtensionProperty.g.cs","v1.0","Get-MgApplicationExtensionProperty","","","dispatcher",""
"Cmdlets","GetMgApplicationExtensionPropertyCount.g.cs","v1.0","Get-MgApplicationExtensionPropertyCount","GET","/applications/{param}/extensionProperties/$count","matched","Get-MgApplicationExtensionPropertyCount"
"Cmdlets","GetMgApplicationFederatedIdentityCredential_Get.g.cs","v1.0","Get-MgApplicationFederatedIdentityCredential","GET","/applications/{param}/federatedIdentityCredentials/{param}","matched","Get-MgApplicationFederatedIdentityCredential"
"Cmdlets","GetMgApplicationFederatedIdentityCredential_List.g.cs","v1.0","Get-MgApplicationFederatedIdentityCredential","GET","/applications/{param}/federatedIdentityCredentials","matched","Get-MgApplicationFederatedIdentityCredential"
"Cmdlets","GetMgApplicationFederatedIdentityCredential.g.cs","v1.0","Get-MgApplicationFederatedIdentityCredential","","","dispatcher",""
"Cmdlets","GetMgApplicationFederatedIdentityCredentialCount.g.cs","v1.0","Get-MgApplicationFederatedIdentityCredentialCount","GET","/applications/{param}/federatedIdentityCredentials/$count","matched","Get-MgApplicationFederatedIdentityCredentialCount"
"Cmdlets","GetMgApplicationHomeRealmDiscoveryPolicy_Get.g.cs","v1.0","Get-MgApplicationHomeRealmDiscoveryPolicy","GET","/applications/{param}/homeRealmDiscoveryPolicies/{param}","matched","Get-MgApplicationHomeRealmDiscoveryPolicy"
"Cmdlets","GetMgApplicationHomeRealmDiscoveryPolicy_List.g.cs","v1.0","Get-MgApplicationHomeRealmDiscoveryPolicy","GET","/applications/{param}/homeRealmDiscoveryPolicies","matched","Get-MgApplicationHomeRealmDiscoveryPolicy"
"Cmdlets","GetMgApplicationHomeRealmDiscoveryPolicy.g.cs","v1.0","Get-MgApplicationHomeRealmDiscoveryPolicy","","","dispatcher",""
"Cmdlets","GetMgApplicationHomeRealmDiscoveryPolicyCount.g.cs","v1.0","Get-MgApplicationHomeRealmDiscoveryPolicyCount","GET","/applications/{param}/homeRealmDiscoveryPolicies/$count","matched","Get-MgApplicationHomeRealmDiscoveryPolicyCount"
"Cmdlets","GetMgApplicationLogo.g.cs","v1.0","Get-MgApplicationLogo","GET","/applications/{param}/logo","matched","Get-MgApplicationLogo"
"Cmdlets","GetMgApplicationOwner.g.cs","v1.0","Get-MgApplicationOwner","GET","/applications/{param}/owners","matched","Get-MgApplicationOwner"
"Cmdlets","GetMgApplicationOwnerAsAppRoleAssignment_Get.g.cs","v1.0","Get-MgApplicationOwnerAsAppRoleAssignment","GET","/applications/{param}/owners/{param}/appRoleAssignment","matched","Get-MgApplicationOwnerAsAppRoleAssignment"
"Cmdlets","GetMgApplicationOwnerAsAppRoleAssignment_List.g.cs","v1.0","Get-MgApplicationOwnerAsAppRoleAssignment","GET","/applications/{param}/owners/appRoleAssignment","matched","Get-MgApplicationOwnerAsAppRoleAssignment"
"Cmdlets","GetMgApplicationOwnerAsAppRoleAssignment.g.cs","v1.0","Get-MgApplicationOwnerAsAppRoleAssignment","","","dispatcher",""
"Cmdlets","GetMgApplicationOwnerAsEndpoint_Get.g.cs","v1.0","Get-MgApplicationOwnerAsEndpoint","GET","/applications/{param}/owners/{param}/endpoint","matched","Get-MgApplicationOwnerAsEndpoint"
"Cmdlets","GetMgApplicationOwnerAsEndpoint_List.g.cs","v1.0","Get-MgApplicationOwnerAsEndpoint","GET","/applications/{param}/owners/endpoint","matched","Get-MgApplicationOwnerAsEndpoint"
"Cmdlets","GetMgApplicationOwnerAsEndpoint.g.cs","v1.0","Get-MgApplicationOwnerAsEndpoint","","","dispatcher",""
"Cmdlets","GetMgApplicationOwnerAsServicePrincipal_Get.g.cs","v1.0","Get-MgApplicationOwnerAsServicePrincipal","GET","/applications/{param}/owners/{param}/servicePrincipal","matched","Get-MgApplicationOwnerAsServicePrincipal"
"Cmdlets","GetMgApplicationOwnerAsServicePrincipal_List.g.cs","v1.0","Get-MgApplicationOwnerAsServicePrincipal","GET","/applications/{param}/owners/servicePrincipal","matched","Get-MgApplicationOwnerAsServicePrincipal"
"Cmdlets","GetMgApplicationOwnerAsServicePrincipal.g.cs","v1.0","Get-MgApplicationOwnerAsServicePrincipal","","","dispatcher",""
"Cmdlets","GetMgApplicationOwnerAsUser_Get.g.cs","v1.0","Get-MgApplicationOwnerAsUser","GET","/applications/{param}/owners/{param}/user","matched","Get-MgApplicationOwnerAsUser"
"Cmdlets","GetMgApplicationOwnerAsUser_List.g.cs","v1.0","Get-MgApplicationOwnerAsUser","GET","/applications/{param}/owners/user","matched","Get-MgApplicationOwnerAsUser"
"Cmdlets","GetMgApplicationOwnerAsUser.g.cs","v1.0","Get-MgApplicationOwnerAsUser","","","dispatcher",""
"Cmdlets","GetMgApplicationOwnerByRef.g.cs","v1.0","Get-MgApplicationOwnerByRef","GET","/applications/{param}/owners/$ref","matched","Get-MgApplicationOwnerByRef"
"Cmdlets","GetMgApplicationOwnerCount.g.cs","v1.0","Get-MgApplicationOwnerCount","GET","/applications/{param}/owners/$count","matched","Get-MgApplicationOwnerCount"
"Cmdlets","GetMgApplicationOwnerCountAsAppRoleAssignment.g.cs","v1.0","Get-MgApplicationOwnerCountAsAppRoleAssignment","GET","/applications/{param}/owners/appRoleAssignment/$count","matched","Get-MgApplicationOwnerCountAsAppRoleAssignment"
"Cmdlets","GetMgApplicationOwnerCountAsEndpoint.g.cs","v1.0","Get-MgApplicationOwnerCountAsEndpoint","GET","/applications/{param}/owners/endpoint/$count","matched","Get-MgApplicationOwnerCountAsEndpoint"
"Cmdlets","GetMgApplicationOwnerCountAsServicePrincipal.g.cs","v1.0","Get-MgApplicationOwnerCountAsServicePrincipal","GET","/applications/{param}/owners/servicePrincipal/$count","matched","Get-MgApplicationOwnerCountAsServicePrincipal"
"Cmdlets","GetMgApplicationOwnerCountAsUser.g.cs","v1.0","Get-MgApplicationOwnerCountAsUser","GET","/applications/{param}/owners/user/$count","matched","Get-MgApplicationOwnerCountAsUser"
"Cmdlets","GetMgApplicationSynchronization.g.cs","v1.0","Get-MgApplicationSynchronization","GET","/applications/{param}/synchronization","matched","Get-MgApplicationSynchronization"
"Cmdlets","GetMgApplicationSynchronizationJob_Get.g.cs","v1.0","Get-MgApplicationSynchronizationJob","GET","/applications/{param}/synchronization/jobs/{param}","matched","Get-MgApplicationSynchronizationJob"
"Cmdlets","GetMgApplicationSynchronizationJob_List.g.cs","v1.0","Get-MgApplicationSynchronizationJob","GET","/applications/{param}/synchronization/jobs","matched","Get-MgApplicationSynchronizationJob"
"Cmdlets","GetMgApplicationSynchronizationJob.g.cs","v1.0","Get-MgApplicationSynchronizationJob","","","dispatcher",""
"Cmdlets","GetMgApplicationSynchronizationJobBulkUpload.g.cs","v1.0","Get-MgApplicationSynchronizationJobBulkUpload","GET","/applications/{param}/synchronization/jobs/{param}/bulkUpload","matched","Get-MgApplicationSynchronizationJobBulkUpload"
"Cmdlets","GetMgApplicationSynchronizationJobBulkUploadContent.g.cs","v1.0","Get-MgApplicationSynchronizationJobBulkUploadContent","GET","/applications/{param}/synchronization/jobs/{param}/bulkUpload/$value","matched","Get-MgApplicationSynchronizationJobBulkUploadContent"
"Cmdlets","GetMgApplicationSynchronizationJobCount.g.cs","v1.0","Get-MgApplicationSynchronizationJobCount","GET","/applications/{param}/synchronization/jobs/$count","matched","Get-MgApplicationSynchronizationJobCount"
"Cmdlets","GetMgApplicationSynchronizationJobSchema.g.cs","v1.0","Get-MgApplicationSynchronizationJobSchema","GET","/applications/{param}/synchronization/jobs/{param}/schema","matched","Get-MgApplicationSynchronizationJobSchema"
"Cmdlets","GetMgApplicationSynchronizationJobSchemaDirectory_Get.g.cs","v1.0","Get-MgApplicationSynchronizationJobSchemaDirectory","GET","/applications/{param}/synchronization/jobs/{param}/schema/directories/{param}","matched","Get-MgApplicationSynchronizationJobSchemaDirectory"
"Cmdlets","GetMgApplicationSynchronizationJobSchemaDirectory_List.g.cs","v1.0","Get-MgApplicationSynchronizationJobSchemaDirectory","GET","/applications/{param}/synchronization/jobs/{param}/schema/directories","matched","Get-MgApplicationSynchronizationJobSchemaDirectory"
"Cmdlets","GetMgApplicationSynchronizationJobSchemaDirectory.g.cs","v1.0","Get-MgApplicationSynchronizationJobSchemaDirectory","","","dispatcher",""
"Cmdlets","GetMgApplicationSynchronizationJobSchemaDirectoryCount.g.cs","v1.0","Get-MgApplicationSynchronizationJobSchemaDirectoryCount","GET","/applications/{param}/synchronization/jobs/{param}/schema/directories/$count","matched","Get-MgApplicationSynchronizationJobSchemaDirectoryCount"
"Cmdlets","GetMgApplicationSynchronizationJobSchemaFilterOperators.g.cs","v1.0","Get-MgApplicationSynchronizationJobSchemaFilterOperators","GET","/applications/{param}/synchronization/jobs/{param}/schema/filterOperators","mismatch","Invoke-MgFilterApplicationSynchronizationJobSchemaOperator"
"Cmdlets","GetMgApplicationSynchronizationJobSchemaFunctions.g.cs","v1.0","Get-MgApplicationSynchronizationJobSchemaFunctions","GET","/applications/{param}/synchronization/jobs/{param}/schema/functions","mismatch","Invoke-MgFunctionApplicationSynchronizationJobSchema"
"Cmdlets","GetMgApplicationSynchronizationSecretCount.g.cs","v1.0","Get-MgApplicationSynchronizationSecretCount","GET","/applications/{param}/synchronization/secrets/$count","matched","Get-MgApplicationSynchronizationSecretCount"
"Cmdlets","GetMgApplicationSynchronizationTemplate_Get.g.cs","v1.0","Get-MgApplicationSynchronizationTemplate","GET","/applications/{param}/synchronization/templates/{param}","matched","Get-MgApplicationSynchronizationTemplate"
"Cmdlets","GetMgApplicationSynchronizationTemplate_List.g.cs","v1.0","Get-MgApplicationSynchronizationTemplate","GET","/applications/{param}/synchronization/templates","matched","Get-MgApplicationSynchronizationTemplate"
"Cmdlets","GetMgApplicationSynchronizationTemplate.g.cs","v1.0","Get-MgApplicationSynchronizationTemplate","","","dispatcher",""
"Cmdlets","GetMgApplicationSynchronizationTemplateCount.g.cs","v1.0","Get-MgApplicationSynchronizationTemplateCount","GET","/applications/{param}/synchronization/templates/$count","matched","Get-MgApplicationSynchronizationTemplateCount"
"Cmdlets","GetMgApplicationSynchronizationTemplateSchema.g.cs","v1.0","Get-MgApplicationSynchronizationTemplateSchema","GET","/applications/{param}/synchronization/templates/{param}/schema","matched","Get-MgApplicationSynchronizationTemplateSchema"
"Cmdlets","GetMgApplicationSynchronizationTemplateSchemaDirectory_Get.g.cs","v1.0","Get-MgApplicationSynchronizationTemplateSchemaDirectory","GET","/applications/{param}/synchronization/templates/{param}/schema/directories/{param}","matched","Get-MgApplicationSynchronizationTemplateSchemaDirectory"
