"Method","Uri","Action","Noun","OurCommand","Evidence"
"DELETE","/admin/configurationManagement","keep",,"Remove-MgAdminConfigurationManagement","Remove-MgAdminConfigurationManagement"
"DELETE","/admin/configurationManagement/configurationDrifts/{param}","keep",,"Remove-MgAdminConfigurationManagementConfigurationDrift","Remove-MgAdminConfigurationManagementConfigurationDrift"
"DELETE","/admin/configurationManagement/configurationMonitoringResults/{param}","keep",,"Remove-MgAdminConfigurationManagementConfigurationMonitoringResult","Remove-MgAdminConfigurationManagementConfigurationMonitoringResult"
"DELETE","/admin/configurationManagement/configurationMonitors/{param}","keep",,"Remove-MgAdminConfigurationManagementConfigurationMonitor","Remove-MgAdminConfigurationManagementConfigurationMonitor"
"DELETE","/admin/configurationManagement/configurationMonitors/{param}/baseline","keep",,"Remove-MgAdminConfigurationManagementConfigurationMonitorBaseline","Remove-MgAdminConfigurationManagementConfigurationMonitorBaseline"
"DELETE","/admin/configurationManagement/configurationSnapshotJobs/{param}","keep",,"Remove-MgAdminConfigurationManagementConfigurationSnapshotJob","Remove-MgAdminConfigurationManagementConfigurationSnapshotJob"
"DELETE","/admin/configurationManagement/configurationSnapshots/{param}","keep",,"Remove-MgAdminConfigurationManagementConfigurationSnapshot","Remove-MgAdminConfigurationManagementConfigurationSnapshot"
"DELETE","/admin/edge","keep",,"Remove-MgAdminEdge","Remove-MgAdminEdge"
"DELETE","/admin/edge/internetExplorerMode","keep",,"Remove-MgAdminEdgeInternetExplorerMode","Remove-MgAdminEdgeInternetExplorerMode"
"DELETE","/admin/edge/internetExplorerMode/siteLists/{param}","keep",,"Remove-MgAdminEdgeInternetExplorerModeSiteList","Remove-MgAdminEdgeInternetExplorerModeSiteList"
"DELETE","/admin/edge/internetExplorerMode/siteLists/{param}/sharedCookies/{param}","keep",,"Remove-MgAdminEdgeInternetExplorerModeSiteListSharedCookie","Remove-MgAdminEdgeInternetExplorerModeSiteListSharedCookie"
"DELETE","/admin/edge/internetExplorerMode/siteLists/{param}/sites/{param}","keep",,"Remove-MgAdminEdgeInternetExplorerModeSiteListSite","Remove-MgAdminEdgeInternetExplorerModeSiteListSite"
